Country,y2016,y2017,y2018,y2019
Afghanistan,1,0,0,0
Argentina,1,0,1,2
Australia,57,42,42,66
Austria,24,17,13,54
Bangladesh,1,3,2,5
Belgium,15,4,12,27
Brazil,13,18,17,12
Bulgaria,1,0,0,0
Canada,163,151,407,172
Chile,1,0,2,0
China,71,52,71,93
Costa Rica,1,0,0,0
Czech Republic,1,4,2,6
Denmark,49,38,63,75
Egypt,1,2,2,1
Estonia,1,0,0,1
Ethiopia,1,0,0,0
Finland,43,25,39,37
France,42,56,63,78
Germany,166,145,204,336
Greece,3,2,3,8
Guatemala,1,6,0,0
Hong Kong,13,13,11,15
India,25,16,14,24
Indonesia,2,0,1,2
Ireland,9,8,10,26
Israel,7,10,18,25
Italy,15,15,35,28
Japan,89,96,106,136
"Korea, Republic of",146,116,158,137
Kuwait,1,1,1,1
Malaysia,6,1,1,5
Mexico,8,13,4,2
Namibia,4,20,1,2
Netherlands,60,18,46,83
New Zealand,3,1,8,10
Norway,5,5,12,14
Pakistan,2,10,3,4
Panama,2,0,0,0
Philippines,1,0,1,0
Poland,12,7,7,11
Portugal,7,9,12,34
Qatar,2,1,4,3
Romania,2,1,1,3
Russian Federation,2,4,1,6
Sierra Leone,2,0,0,0
Singapore,26,23,21,20
South Africa,4,7,5,1
Spain,17,5,4,18
Sweden,53,33,29,58
Switzerland,51,26,40,51
Taiwan,47,29,28,38
Thailand,2,0,0,0
Turkey,7,2,3,5
United Kingdom,333,226,288,715
United States,2181,1648,1515,1163
Cyprus,0,1,5,4
Iceland,0,1,0,1
Luxembourg,0,2,2,4
Macao,0,1,0,1
Saudi Arabia,0,1,3,2
Croatia,0,1,0,0
Kenya,0,1,1,1
United Arab Emirates,0,1,1,7
Jordan,0,1,1,1
Armenia,0,0,1,0
Malta,0,0,1,2
Rwanda,0,0,1,0
Gabon,0,0,0,1
Nigeria,0,0,0,2
Slovenia,0,0,0,3
Ukraine,0,0,0,4
Colombia,0,0,0,1
Ecuador,0,0,0,1
Hungary,0,0,0,3
Uruguay,0,0,0,1
